Network,Acc.(%),Time(ms),Gain,Thrshld.T,Exit(%)
B-resnet(100),67.25000068306923,3.0798115015029905,1.1155183246459148,"{0.1, 0.01}","{75.81, 15.95, 8.24}"
B-resnet(100),67.11000068888067,3.024379324913025,1.1359640432936222,"{0.1, 0.025}","{75.81, 17.13, 7.06}"
B-resnet(100),66.91000070244074,3.0791831254959106,1.1157459710450075,"{0.1, 0.05}","{75.81, 18.07, 6.12}"
B-resnet(100),66.78000070184468,2.894780492782593,1.1868209610184972,"{0.1, 0.075}","{75.81, 18.61, 5.58}"
B-resnet(100),66.67000071272254,2.9987412691116333,1.1456760880873247,"{0.1, 0.1}","{75.81, 19.1, 5.09}"
B-resnet(100),66.5200007238984,2.8709739208221436,1.196662269017758,"{0.1, 0.25}","{75.81, 20.53, 3.66}"
B-resnet(100),66.29000073730946,2.630983400344849,1.305818260172803,"{0.1, 0.5}","{75.81, 21.95, 2.24}"
B-resnet(100),66.18000075936318,2.38865270614624,1.4382945488650283,"{0.1, 0.75}","{75.81, 23.64, 0.55}"
B-resnet(100),66.0900007648766,2.3088136672973634,1.4880309377254521,"{0.1, 1.0}","{75.81, 24.06, 0.13}"
B-resnet(100),66.07000076279044,2.3102113008499146,1.4871307075322078,"{0.1, 2.0}","{75.81, 24.19, 0.0}"
B-resnet(100),66.07000076279044,2.2569242238998415,1.522242585728169,"{0.1, 3.0}","{75.81, 24.19, 0.0}"
B-resnet(100),66.07000076279044,2.224147987365723,1.544675168153239,"{0.1, 5.0}","{75.81, 24.19, 0.0}"
B-resnet(100),66.07000076279044,2.2923596858978272,1.4987116496232795,"{0.1, 10.0}","{75.81, 24.19, 0.0}"
B-resnet(100),65.68000077426433,3.150081419944763,1.090634084766634,"{0.25, 0.0001}","{82.61, 7.65, 9.74}"
B-resnet(100),65.55000077337027,3.067207717895508,1.1201022175110729,"{0.25, 0.0005}","{82.61, 8.54, 8.85}"
B-resnet(100),65.540000770092,3.3105838775634764,1.03775838143402,"{0.25, 0.001}","{82.61, 9.11, 8.28}"
B-resnet(100),65.30000077232718,2.951016330718994,1.164204389727921,"{0.25, 0.005}","{82.61, 10.51, 6.88}"
B-resnet(100),65.2400007738173,3.0381879806518555,1.1308010525552525,"{0.25, 0.01}","{82.61, 11.16, 6.23}"
B-resnet(100),65.1900007750094,2.9269419431686403,1.1737800862092087,"{0.25, 0.025}","{82.61, 12.01, 5.38}"
B-resnet(100),65.03000078082086,2.907307171821594,1.1817073199834074,"{0.25, 0.05}","{82.61, 12.79, 4.6}"
B-resnet(100),64.98000078320503,2.762213563919067,1.243780065111033,"{0.25, 0.075}","{82.61, 13.16, 4.23}"
B-resnet(100),64.93000078886747,2.7224445104598995,1.2619490142708054,"{0.25, 0.1}","{82.61, 13.57, 3.82}"
B-resnet(100),64.93000079333781,2.718513560295105,1.2637737830555054,"{0.25, 0.25}","{82.61, 14.68, 2.71}"
B-resnet(100),64.74000080496073,2.4349005222320557,1.4109759864983966,"{0.25, 0.5}","{82.61, 15.86, 1.53}"
B-resnet(100),64.60000081017614,2.2650388956069945,1.5167890375061983,"{0.25, 0.75}","{82.61, 16.99, 0.4}"
B-resnet(100),64.5800008122623,2.338930130004883,1.4688707979381426,"{0.25, 1.0}","{82.61, 17.25, 0.14}"
B-resnet(100),64.58000081434847,2.188871574401855,1.5695695474142495,"{0.25, 2.0}","{82.61, 17.39, 0.0}"
B-resnet(100),64.58000081434847,2.167018127441406,1.585397982082515,"{0.25, 3.0}","{82.61, 17.39, 0.0}"
B-resnet(100),64.58000081434847,2.3784478664398194,1.444465617623309,"{0.25, 5.0}","{82.61, 17.39, 0.0}"
B-resnet(100),64.58000081434847,2.1727488517761233,1.5812164224932856,"{0.25, 10.0}","{82.61, 17.39, 0.0}"
B-resnet(100),63.97000085368752,2.8197697401046753,1.2183924515248894,"{0.5, 0.0001}","{89.65, 4.15, 6.2}"
B-resnet(100),63.96000085309148,2.816647577285767,1.2197430001848164,"{0.5, 0.0005}","{89.65, 4.56, 5.79}"
B-resnet(100),63.95000084981323,2.724228930473328,1.2611224144752444,"{0.5, 0.001}","{89.65, 4.9, 5.45}"
B-resnet(100),63.770000852197406,2.7855711221694945,1.2333507261900705,"{0.5, 0.005}","{89.65, 5.73, 4.62}"
B-resnet(100),63.69000085279346,2.6018877506256106,1.3204205929159574,"{0.5, 0.01}","{89.65, 6.18, 4.17}"
B-resnet(100),63.690000851005315,2.7068036794662476,1.269240984281245,"{0.5, 0.025}","{89.65, 6.8, 3.55}"
B-resnet(100),63.64000085517764,2.6345681905746456,1.3040414663294306,"{0.5, 0.05}","{89.65, 7.3, 3.05}"
B-resnet(100),63.58000085785985,2.4628113746643066,1.3949855038533445,"{0.5, 0.075}","{89.65, 7.52, 2.83}"
B-resnet(100),63.540000859647996,2.5569273710250853,1.3436385426170676,"{0.5, 0.1}","{89.65, 7.77, 2.58}"
B-resnet(100),63.42000086382031,2.341080355644226,1.4675216756651739,"{0.5, 0.25}","{89.65, 8.53, 1.82}"
B-resnet(100),63.250000868141655,2.2279371500015257,1.5420480628816136,"{0.5, 0.5}","{89.65, 9.28, 1.07}"
B-resnet(100),63.21000087261201,2.1951107025146483,1.5651083849421072,"{0.5, 0.75}","{89.65, 10.02, 0.33}"
B-resnet(100),63.18000087350607,2.0965200424194337,1.638708954299854,"{0.5, 1.0}","{89.65, 10.25, 0.1}"
B-resnet(100),63.17000087469816,2.0430298089981083,1.6816133329286225,"{0.5, 2.0}","{89.65, 10.35, 0.0}"
B-resnet(100),63.17000087469816,2.047300291061401,1.6781056405754198,"{0.5, 3.0}","{89.65, 10.35, 0.0}"
B-resnet(100),63.17000087469816,2.1669612646102907,1.5854395842187314,"{0.5, 5.0}","{89.65, 10.35, 0.0}"
B-resnet(100),63.17000087469816,2.05893497467041,1.6686229573286049,"{0.5, 10.0}","{89.65, 10.35, 0.0}"
B-resnet(100),61.920000467151404,1.8872753620147704,1.8203947529491182,"{0.75, 0.0001}","{97.76, 0.67, 1.57}"
B-resnet(100),61.90000046685338,1.8618400812149047,1.8452638339056575,"{0.75, 0.0005}","{97.76, 0.8, 1.44}"
B-resnet(100),61.90000046685338,1.7095948696136474,2.0095908261342914,"{0.75, 0.001}","{97.76, 0.85, 1.39}"
B-resnet(100),61.86000046685338,1.6844089746475222,2.039638958288478,"{0.75, 0.005}","{97.76, 1.02, 1.22}"
B-resnet(100),61.810000466853374,1.7398928880691527,1.9745963616153865,"{0.75, 0.01}","{97.76, 1.14, 1.1}"
B-resnet(100),61.810000466853374,1.7721567153930664,1.9386469246992182,"{0.75, 0.025}","{97.76, 1.23, 1.01}"
B-resnet(100),61.79000046685338,1.6443209886550905,2.089364661818154,"{0.75, 0.05}","{97.76, 1.32, 0.92}"
B-resnet(100),61.800000466853376,1.6265586137771606,2.11218097969663,"{0.75, 0.075}","{97.76, 1.38, 0.86}"
B-resnet(100),61.800000466853376,1.6209262609481812,2.1195203317713824,"{0.75, 0.1}","{97.76, 1.43, 0.81}"
B-resnet(100),61.79000046685338,1.704381036758423,2.0157383192411054,"{0.75, 0.25}","{97.76, 1.64, 0.6}"
B-resnet(100),61.7600004671514,1.5478063344955444,2.2196486019044173,"{0.75, 0.5}","{97.76, 1.84, 0.4}"
B-resnet(100),61.7600004671514,1.5111811876296997,2.2734442398469645,"{0.75, 0.75}","{97.76, 2.03, 0.21}"
B-resnet(100),61.740000467151404,1.4925003051757812,2.3018998083067093,"{0.75, 1.0}","{97.76, 2.18, 0.06}"
B-resnet(100),61.7100004671514,1.5641658544540404,2.196433425904825,"{0.75, 2.0}","{97.76, 2.24, 0.0}"
B-resnet(100),61.7100004671514,1.4995923042297363,2.2910134685883974,"{0.75, 3.0}","{97.76, 2.24, 0.0}"
B-resnet(100),61.7100004671514,1.474417233467102,2.330131585821899,"{0.75, 5.0}","{97.76, 2.24, 0.0}"
B-resnet(100),61.7100004671514,1.6082185268402098,2.1362682428065263,"{0.75, 10.0}","{97.76, 2.24, 0.0}"
B-resnet(100),61.48000013262034,1.2963378190994264,2.6502244366893177,"{1.0, 0.0001}","{99.43, 0.13, 0.44}"
B-resnet(100),61.49000013262034,1.4210909843444826,2.4175694619346237,"{1.0, 0.0005}","{99.43, 0.15, 0.42}"
B-resnet(100),61.49000013262034,1.2888078689575195,2.6657085583755666,"{1.0, 0.001}","{99.43, 0.17, 0.4}"
B-resnet(100),61.49000013262034,1.2829607486724854,2.677857580550871,"{1.0, 0.005}","{99.43, 0.21, 0.36}"
B-resnet(100),61.48000013262034,1.3421988725662233,2.5596699837879844,"{1.0, 0.01}","{99.43, 0.28, 0.29}"
B-resnet(100),61.47000013262034,1.2560587644577026,2.735211332142675,"{1.0, 0.025}","{99.43, 0.31, 0.26}"
B-resnet(100),61.46000013262033,1.376161813735962,2.4964986908443647,"{1.0, 0.05}","{99.43, 0.35, 0.22}"
B-resnet(100),61.47000013262034,1.2562951564788818,2.734696658395966,"{1.0, 0.075}","{99.43, 0.36, 0.21}"
B-resnet(100),61.46000013262033,1.2639350175857544,2.718166771693815,"{1.0, 0.1}","{99.43, 0.37, 0.2}"
